name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
5. Romancing The Rock,1.00,0.50,0.00,0.00,1.00,0.16,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,-1.00,1.00
6. Buckland,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
7. Mr Megsey,0.00,0.17,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
8. Floppy,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
9. Miss Eugen,0.17,0.17,0.00,0.00,0.17,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.25,-1.00,0.00
10. Heavenly Sky,1.00,0.33,0.00,0.00,1.00,0.19,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,-1.00,1.00
11. Black Spirit,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
12. Saffiya,0.00,0.11,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
1. Dr Schultz,0.14,0.19,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.13,0.14,-1.00,0.00
2. Cotchin,0.18,0.20,0.00,0.00,0.18,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.18,-1.00,0.00
3. Rig A Dig,0.20,0.18,0.00,0.00,0.20,0.07,0.50,0.40,0.29,0.00,1.00,0.00,0.00,0.25,0.00,0.00,0.00,0.20,-1.00,1.00
5. Feuding,0.25,0.19,0.00,0.00,0.25,0.21,0.33,0.33,0.29,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.20,-1.00,0.00
6. So Likable,0.14,0.20,0.00,0.00,0.14,0.08,0.50,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,-1.00,0.00
7. Divine Noir,0.25,0.20,0.00,0.00,0.25,0.10,0.50,0.25,0.25,0.00,1.00,0.00,0.00,0.25,0.00,0.00,0.00,0.25,-1.00,0.00
8. Northeast Eagle,0.50,0.25,0.00,0.00,0.50,0.14,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,-1.00,0.00
9. Top Notch Scotch,0.30,0.21,0.00,0.00,0.30,0.07,0.00,0.20,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.30,-1.00,0.00
10. Lady Chant,1.00,0.50,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,-1.00,1.00
11. Mystical Babe,0.40,0.18,0.00,0.00,0.40,0.17,0.33,1.00,1.00,0.00,0.00,0.00,0.00,0.50,0.33,0.00,0.33,0.67,-1.00,1.00
12. Queen Of Jerusalem,0.33,0.29,0.00,0.00,0.33,0.04,0.33,0.50,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,-1.00,1.00
